stable_key,record_type,entry_index,dialogue_id,category,source_offset_or_pointer,pointer_references,selected_pointer_references,layout,speaker,chinese_record_indexes,chinese_offsets,chinese_text,english_2015_storage,english_2015,english_v2,editorial_origin,alignment_method,alignment_confidence,source_resolution,review_status,source_capacity_bytes,compression,compression_justification,fidelity_comment,multi_source_mode,pointer_variant_count,storage_overlap_group,storage_overlap_role
MAIN:0x0301C4,MAIN,1,,Ordinary text,0x0301C4,0x03002B,0x03002B,,,1,0x0301C4,南晶公司版权所有,graphical_codes,<0A><B0A7><B0A8><B0A9><B0AA><B0AB><B0AC><B0AD><B0AE>,(c) Nanjing Co. All rights reserved.,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,17,no,,Restores Nanjing as the rights holder instead of retaining the unreadable graphical residue in the old English ROM.,,,,
MAIN:0x0301D7,MAIN,2,,Ordinary text,0x0301D7,0x03002F,0x03002F,,,3,0x0301E1,出来了!,ascii,Appeared!, appeared!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,19,no,,Renders the appearance suffix and keeps the leading space required after the preceding Pokémon name. Full-text review: Keeps the wild-appearance suffix on the engine-provided second row.,,,,
MAIN:0x0301EB,MAIN,3,,Ordinary text,0x0301EB,0x030031,0x030031,,,4,0x0301EA,冲啊!,ascii,Go!,Go! ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,4,no,,Preserves the short send-out cry and its trailing join before the player's Pokémon name.,,,,
MAIN:0x0301F0,MAIN,4,,Ordinary text,0x0301F0,0x030033,0x030033,,,5,0x0301F1,野生的,graphical_codes,00<B1F8><B1C9><B0BC>,Wild ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,no,,Uses the standard wild-Pokémon prefix and preserves the trailing space before the species name.,,,,
MAIN:0x0301F9,MAIN,5,,Ordinary text,0x0301F9,0x030035,0x030035,,,6,0x0301F9,不行了!,ascii,Fainted!, fainted!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Conveys that the named Pokémon can no longer battle and keeps the suffix's structural leading space.,,,,
MAIN:0x030203,MAIN,6,,Ordinary text,0x030203,,0x030037,,,7,0x030202,经验值得到了!,ascii,Experience!,Exp. gained!,translated_directly_from_reviewed_chinese_source_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,12,no,,Restores the complete experience-gained message identified by the reviewed structural record rather than the vague old Experience fragment.,,,,
MAIN:0x030210,MAIN,7,,Ordinary text,0x030210,0x030039,0x030039,,,8,0x030211,情况不妙快逃!,ascii,Got away safely!,Got away safely!,adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,16,no,,The executable branch is a completed escape; uses the official Generation I success message instead of an instruction to run after the fact.,,,,
MAIN:0x030221,MAIN,8,,Ordinary text,0x030221,0x03003B,0x03003B,,,9,0x030220,小智使用了,ascii,Threw a,Ash used ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,no,,Retains Ash as the explicit user and the trailing join before the item name.,,,,
MAIN:0x03022A,MAIN,9,,Ordinary text,0x03022A,0x03003D,0x03003D,,,10,0x03022C,将,ascii,Yes!,Gotcha! ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,no,,Restructures the Chinese object marker into a natural capture lead-in before the Pokémon name; the following fragment supplies the caught result.,,,,
MAIN:0x030230,MAIN,10,,Ordinary text,0x030230,0x030041,0x030041,,,12,0x030238,不行啊!,ascii,Oh No!,Oh no! ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,16,no,,Preserves the failed-capture exclamation and its structural trailing join before the Pokémon name.,,,,
MAIN:0x030242,MAIN,11,,Ordinary text,0x030242,0x030043,0x030043,,,13,0x030241,从精灵球中跑出来了,ascii,Broke free!, broke free!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,11,no,,"Preserves both the escape and the explicit Poké Ball, with a leading space for attachment to the Pokémon name. Full-text review: Uses the compact Gen I capture-failure formula on the engine-provided second row.",,,,
MAIN:0x03024E,MAIN,12,,Ordinary text,0x03024E,0x03003F,0x03003F,,,11,0x030230,抓到了,ascii,was caught!, was caught!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,19,no,,Renders the capture-result suffix and preserves its join after the Pokémon name. Full-text review: Keeps the capture-success suffix on the engine-provided second row.,,,,
MAIN:0x030262,MAIN,13,,Ordinary text,0x030262,0x030047,0x030047,,,15,0x030264,使用了,ascii,sent out, sent out ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,10,no,,"Uses the battle-context sense of the verb between the Trainer and Pokémon names, retaining both joining spaces.",,,,
MAIN:0x03026D,MAIN,14,,Ordinary text,0x03026D,0x030049,0x030049,,,16,0x03026C,不行!胜负的关键不能逃!,ascii,Can't run from trainer,"No! There's no running
from a Trainer battle!",translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,22,yes,"Uses complete, natural English while respecting dialogue pagination and ROM bank limits; no displayed word is truncated.",Preserves the prohibition on fleeing while using the natural official English battle phrasing. Full-text review: Keeps the complete Gen I Trainer-battle escape formula across two bounded rows.,,,,
MAIN:0x030290,MAIN,15,,Ordinary text,0x030290,0x030051,0x030051,,,20,0x03029E,不行!这是偷盗行为!,ascii,Trainer blocked the ball,"No! That would be
stealing!",translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,24,no,,Directly preserves the warning that attempting this action would constitute theft. Full-text review: Keeps the complete Gen I stealing warning across two bounded rows.,,,,
MAIN:0x0302A9,MAIN,16,,Ordinary text,0x0302A9,0x030053,0x030053,,,21,0x0302B2,请准备应战,ascii,Your turn!,Your turn!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,20,yes,The left battle pane cannot safely render Prepare to battle!; the concise 2015 Luiga wording fits without overwriting the command menu.,Preserves the Chinese prompt to prepare for battle in the compact battle-screen voice used by the 2015 English build.,,,,
MAIN:0x0302BF,MAIN,17,,Ordinary text,0x0302BF,0x030055,0x030055,,,22,0x0302BE,使用,ascii,used, used ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,no,,"Preserves the move-use connector between the acting Pokémon and move names, including both structural spaces.",,,,
MAIN:0x0302C5,MAIN,18,,Ordinary text,0x0302C5,0x030057,0x030057,,,23,0x0302C4,效果一般!,ascii,Good Hit!,It was effective!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,"Conveys the Chinese assessment that the attack had an effective, ordinary result without importing the old unrelated hit-quality wording.",,,,
MAIN:0x0302CF,MAIN,19,,Ordinary text,0x0302CF,0x03005B,0x03005B,,,25,0x0302DA,效果不好!,ascii,Not very effective!,It's not very effective!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,20,no,,Uses the standard Pokémon phrasing for the explicitly poor-effectiveness branch. Full-text review: Uses the canonical effectiveness formula in exactly 24 artifact-free cells.,,,,
MAIN:0x0302E4,MAIN,20,,Ordinary text,0x0302E4,0x03005D,0x03005D,,,26,0x0302E5,没有效果!,ascii,Missed!,It had no effect!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Restores the explicit no-effect result instead of the mechanically different old message about missing.,,,,
MAIN:0x0302EE,MAIN,21,,Ordinary text,0x0302EE,0x03005F,0x03005F,,,27,0x0302F0,中毒了,ascii,is poisoned, was poisoned!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,11,no,,Renders the poison-infliction suffix with the leading space needed after the affected Pokémon's name.,,,,
